,0
0,"0, 0, Header, 1, 10, 96
"
1,"1, 0, Start_track
"
2,"1, 0, Sequencer_specific, 0A, 00, 00, 5B, 23, 01, 00, 05, 05, 29, 00
"
3,"1, 0, Title_t, ""Christmas is Coming""
"
4,"1, 0, Instrument_name_t, ""Vince Guaraldi Trio""
"
5,"1, 0, SMPTE_offset, 96, 0, 3, 0, 0
"
6,"1, 0, MIDI_port, 0
"
7,"1, 0, Key_signature, 0, ""major""
"
8,"1, 0, Time_signature, 4, 2, 24, 8
"
9,"1, 0, Tempo, 346820
"
10,"1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 00, 7F, 00, 41, F7
"
11,"1, 1, Text_t, ""GS Reset - SYX ""
"
12,"1, 35808, Tempo, 666666
"
13,"1, 37632, Text_t, ""END""
"
14,"1, 37632, System_exclusive, 0A, 41, 10, 42, 12, 40, 00, 7F, 00, 41, F7
"
15,"1, 37633, Text_t, ""GS Reset - SYX ""
"
16,"1, 37633, End_track
"
17,"2, 0, Start_track
"
18,"2, 0, Title_t, ""Piano Lead""
"
19,"2, 0, MIDI_port, 0
"
20,"2, 94, Control_c, 0, 0, 0
"
21,"2, 95, Control_c, 0, 32, 0
"
22,"2, 96, Program_c, 0, 0
"
23,"2, 96, Control_c, 0, 91, 45
"
24,"2, 96, Control_c, 0, 10, 44
"
25,"2, 96, Control_c, 0, 7, 127
"
26,"2, 384, Note_on_c, 0, 34, 90
"
27,"2, 477, Note_on_c, 0, 34, 0
"
28,"2, 480, Control_c, 0, 93, 15
"
29,"2, 480, Note_on_c, 0, 46, 90
"
30,"2, 526, Note_on_c, 0, 46, 0
"
31,"2, 528, Note_on_c, 0, 34, 90
"
32,"2, 621, Note_on_c, 0, 34, 0
"
33,"2, 624, Note_on_c, 0, 46, 90
"
34,"2, 717, Note_on_c, 0, 46, 0
"
35,"2, 720, Note_on_c, 0, 34, 90
"
36,"2, 813, Note_on_c, 0, 34, 0
"
37,"2, 816, Note_on_c, 0, 46, 90
"
38,"2, 909, Note_on_c, 0, 46, 0
"
39,"2, 912, Note_on_c, 0, 34, 90
"
40,"2, 958, Note_on_c, 0, 34, 0
"
41,"2, 960, Note_on_c, 0, 34, 90
"
42,"2, 1053, Note_on_c, 0, 34, 0
"
43,"2, 1056, Note_on_c, 0, 46, 90
"
44,"2, 1149, Note_on_c, 0, 46, 0
"
45,"2, 1152, Note_on_c, 0, 34, 90
"
46,"2, 1245, Note_on_c, 0, 34, 0
"
47,"2, 1248, Note_on_c, 0, 46, 90
"
48,"2, 1294, Note_on_c, 0, 46, 0
"
49,"2, 1296, Note_on_c, 0, 34, 90
"
50,"2, 1389, Note_on_c, 0, 34, 0
"
51,"2, 1392, Note_on_c, 0, 46, 90
"
52,"2, 1485, Note_on_c, 0, 46, 0
"
53,"2, 1488, Note_on_c, 0, 34, 90
"
54,"2, 1581, Note_on_c, 0, 34, 0
"
55,"2, 1584, Note_on_c, 0, 46, 90
"
56,"2, 1677, Note_on_c, 0, 46, 0
"
57,"2, 1680, Note_on_c, 0, 60, 107
"
58,"2, 1680, Note_on_c, 0, 68, 110
"
59,"2, 1680, Note_on_c, 0, 63, 107
"
60,"2, 1680, Note_on_c, 0, 34, 90
"
61,"2, 1773, Note_on_c, 0, 34, 0
"
62,"2, 1776, Note_on_c, 0, 60, 0
"
63,"2, 1776, Note_on_c, 0, 68, 0
"
64,"2, 1776, Note_on_c, 0, 63, 0
"
65,"2, 1776, Note_on_c, 0, 63, 107
"
66,"2, 1776, Note_on_c, 0, 46, 90
"
67,"2, 1776, Note_on_c, 0, 68, 110
"
68,"2, 1776, Note_on_c, 0, 60, 107
"
69,"2, 1822, Note_on_c, 0, 46, 0
"
70,"2, 1824, Note_on_c, 0, 63, 0
"
71,"2, 1824, Note_on_c, 0, 68, 0
"
72,"2, 1824, Note_on_c, 0, 60, 0
"
73,"2, 1824, Note_on_c, 0, 63, 107
"
74,"2, 1824, Note_on_c, 0, 68, 110
"
75,"2, 1824, Note_on_c, 0, 34, 90
"
76,"2, 1824, Note_on_c, 0, 60, 107
"
77,"2, 1917, Note_on_c, 0, 34, 0
"
78,"2, 1920, Note_on_c, 0, 63, 0
"
79,"2, 1920, Note_on_c, 0, 68, 0
"
80,"2, 1920, Note_on_c, 0, 60, 0
"
81,"2, 1920, Note_on_c, 0, 67, 110
"
82,"2, 1920, Note_on_c, 0, 46, 107
"
83,"2, 1920, Note_on_c, 0, 58, 107
"
84,"2, 1920, Note_on_c, 0, 63, 107
"
85,"2, 1920, Note_on_c, 0, 34, 90
"
86,"2, 2016, Note_on_c, 0, 67, 0
"
87,"2, 2016, Note_on_c, 0, 58, 0
"
88,"2, 2016, Note_on_c, 0, 63, 0
"
89,"2, 2016, Note_on_c, 0, 58, 107
"
90,"2, 2016, Note_on_c, 0, 63, 107
"
91,"2, 2016, Note_on_c, 0, 67, 110
"
92,"2, 2106, Note_on_c, 0, 34, 0
"
93,"2, 2112, Note_on_c, 0, 46, 0
"
94,"2, 2112, Note_on_c, 0, 46, 90
"
95,"2, 2158, Note_on_c, 0, 46, 0
"
96,"2, 2160, Note_on_c, 0, 34, 90
"
97,"2, 2253, Note_on_c, 0, 34, 0
"
98,"2, 2256, Note_on_c, 0, 46, 90
"
99,"2, 2349, Note_on_c, 0, 46, 0
"
100,"2, 2352, Note_on_c, 0, 34, 90
"
101,"2, 2400, Note_on_c, 0, 58, 0
"
102,"2, 2400, Note_on_c, 0, 63, 0
"
103,"2, 2400, Note_on_c, 0, 67, 0
"
104,"2, 2445, Note_on_c, 0, 34, 0
"
105,"2, 2448, Note_on_c, 0, 34, 90
"
106,"2, 2448, Note_on_c, 0, 63, 107
"
107,"2, 2448, Note_on_c, 0, 60, 107
"
108,"2, 2448, Note_on_c, 0, 68, 110
"
109,"2, 2448, Note_on_c, 0, 46, 107
"
110,"2, 2544, Note_on_c, 0, 63, 0
"
111,"2, 2544, Note_on_c, 0, 60, 0
"
112,"2, 2544, Note_on_c, 0, 68, 0
"
113,"2, 2544, Note_on_c, 0, 60, 107
"
114,"2, 2544, Note_on_c, 0, 68, 110
"
115,"2, 2544, Note_on_c, 0, 63, 107
"
116,"2, 2587, Note_on_c, 0, 34, 0
"
117,"2, 2592, Note_on_c, 0, 46, 0
"
118,"2, 2592, Note_on_c, 0, 60, 0
"
119,"2, 2592, Note_on_c, 0, 68, 0
"
120,"2, 2592, Note_on_c, 0, 63, 0
"
121,"2, 2592, Note_on_c, 0, 60, 107
"
122,"2, 2592, Note_on_c, 0, 63, 107
"
123,"2, 2592, Note_on_c, 0, 46, 90
"
124,"2, 2592, Note_on_c, 0, 68, 110
"
125,"2, 2638, Note_on_c, 0, 46, 0
"
