,0
0,"0, 0, Header, 1, 19, 120
"
1,"1, 0, Start_track
"
2,"1, 0, Key_signature, -3, ""major""
"
3,"1, 0, SMPTE_offset, 96, 0, 0, 0, 0
"
4,"1, 0, Title_t, ""Who Can I Turn To  duke chords""
"
5,"1, 0, Sequencer_specific, 7E, 00, 00, 00, 6A, 00, 01, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 18, 24, 00, 00, 14, 18, 00, 00, 13, 27, 00, 00, 18, 03, 00, 00, 18, 04, 00, 00, 14, 06, 00, 00, 1D, B8, 01, B6, 1D, C0, 63, 2A, 06, 24, 00, 00, 13, 18, 00, 00, 14, 08, 00, 00, 13, 07, 00, 00, 14, 18, 00, 00, 00, 00, 00, 00, 3A, 2A, 00, 00, 00, 00, 00, 00, 18, 24, 00, 00, 14, 18, 00, 00, 14, 27, 00, 00, 06, 03, 00, 00, 13, 2A, 00, 00, 11, 0B, 00, 00, 14, 0B, 00, 00, 46, 24, 00, 00, 18, 09, 00, 00, 00, 00, 00, 00
"
6,"1, 0, Sequencer_specific, 7E, 00, 00, 00, 6A, 00, 01, 39, 27, 00, 00, 00, 00, 00, 00, 14, 01, 00, 00, 00, 00, 00, 00, 41, 18, 00, 00, 00, 00, 00, 00, 13, 06, 00, 00, 28, 29, 00, 00, 14, 27, 00, 00, 70, 1D, 00, 00, 13, 18, 00, 00, 14, 03, 00, 00, 1D, B8, 1D, B6, 1D, C0, 63, 2A, 18, 24, 00, 00, 14, 06, 00, 00, 13, 27, 00, 00, 13, 29, 00, 00, 14, 06, 00, 00, 00, 00, 00, 00, 3A, 2A, 00, 00, 00, 00, 00, 00, 06, 24, 00, 00, 13, 06, 00, 00, 14, 27, 00, 00, 18, 03, 00, 00, 13, 2A, 00, 00, 00, 00, 00, 00, 38, 0C, 00, 00, 00, 00, 00, 00
"
7,"1, 0, Sequencer_specific, 7E, 00, 00, 00, 6A, 00, 01, 18, 09, 00, 00, 00, 00, 00, 00, 39, 08, 00, 00, 00, 00, 00, 00, 14, 1D, 00, 00, 41, 06, 00, 00, 70, 07, 00, 00, 00, 00, 00, 00, 21, 27, 00, 00, 21, 29, 00, 00, 13, 06, 00, 00, 41, 31, 00, 00, 21, 27, 00, 00, 28, 29, 00, 00, 13, 18, 00, 00, 39, 31, 00, 00, 18, 04, 00, 00, 14, 06, 00, 00, 14, 27, 00, 00, 14, 07, 00, 00, 13, 18, 00, 00, 00, 00, 00, 00, 3A, 0B, 00, 00, 00, 00, 00, 00, 18, 24, 00, 00, 14, 18, 00, 00, 13, 27, 00, 00, 06, 09, 00, 00, 13, 2A, 00, 00, 11, 2A, 00, 00
"
8,"1, 0, Sequencer_specific, 7E, 00, 00, 00, 6A, 00, 01, 14, 2A, 00, 00, 46, 24, 00, 00, 18, 03, 00, 00, 00, 00, 00, 00, 39, 08, 00, 00, 00, 00, 00, 00, 13, 01, 00, 00, 00, 00, 00, 00, 41, 18, 00, 00, 00, 00, 00, 00, 13, 06, 00, 00, 28, 29, 00, 00, 14, 27, 00, 00, 70, 1D, 00, 00, 13, 06, 00, 00, 14, 03, 00, 00, 1D, B8, 01, B6, 1D, C0, 63, 0B, 06, 24, 00, 00, 00, 00, 00, 00, 14, 08, 00, 00, 14, 07, 00, 00, 14, 18, 00, 00, 00, 00, 00, 00, 3A, 2A, 00, 00, 00, 00, 00, 00, 18, 04, 00, 00, 13, 06, 00, 00, 14, 27, 00, 00, 18, 03, 00, 00
"
9,"1, 0, Sequencer_specific, 50, 00, 00, 00, 6A, 00, 01, 14, 2A, 00, 00, 00, 00, 00, 00, 38, 0C, 00, 00, 00, 00, 00, 00, 18, 03, 00, 00, 00, 00, 00, 00, 39, 08, 00, 00, 00, 00, 00, 00, 14, 01, 00, 00, 41, 06, 00, 00, 21, 07, 00, 00, 00, 00, 00, 00, 18, 08, 00, 00, 21, 07, 00, 00, 13, 06, 00, 00, 41, 05, 00, 00, 18, 08, 00, 00, 21, 07, 00, 00, 13, 06
"
10,"1, 0, Sequencer_specific, 4D, 00, 00, 00, 6A, 00, 06, 00, 00, 01, 00, 00, 00, 02, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 02, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 02, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 02, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 02
"
11,"1, 0, Tempo, 666666
"
12,"1, 0, Time_signature, 4, 2, 24, 8
"
13,"1, 33600, Tempo, 666666
"
14,"1, 33600, Time_signature, 4, 2, 24, 8
"
15,"1, 33600, End_track
"
16,"2, 0, Start_track
"
17,"2, 0, MIDI_port, 0
"
18,"2, 0, Sequencer_specific, 07, 00, 00, 00, 6A, 00, 04, 00
"
19,"2, 0, Title_t, ""MEDLEY SEQ BY OKIE DUKE  2 21 12""
"
20,"2, 0, End_track
"
21,"3, 0, Start_track
"
22,"3, 0, MIDI_port, 0
"
23,"3, 0, Sequencer_specific, 07, 00, 00, 00, 6A, 00, 04, 02
"
24,"3, 0, Title_t, ""BASS""
"
25,"3, 0, Program_c, 1, 33
"
26,"3, 0, Control_c, 1, 91, 40
"
27,"3, 0, Control_c, 1, 93, 0
"
28,"3, 0, Control_c, 1, 64, 0
"
29,"3, 960, Note_on_c, 1, 39, 64
"
30,"3, 1168, Note_on_c, 1, 39, 0
"
31,"3, 1168, Note_on_c, 1, 34, 66
"
32,"3, 1195, Note_on_c, 1, 34, 0
"
33,"3, 1200, Note_on_c, 1, 41, 67
"
34,"3, 1370, Note_on_c, 1, 41, 0
"
35,"3, 1400, Note_on_c, 1, 41, 64
"
36,"3, 1434, Note_on_c, 1, 41, 0
"
37,"3, 1440, Note_on_c, 1, 31, 65
"
38,"3, 1666, Note_on_c, 1, 31, 0
"
39,"3, 1680, Note_on_c, 1, 32, 65
"
40,"3, 1892, Note_on_c, 1, 32, 0
"
41,"3, 1920, Note_on_c, 1, 39, 64
"
42,"3, 2128, Note_on_c, 1, 39, 0
"
43,"3, 2128, Note_on_c, 1, 39, 66
"
44,"3, 2155, Note_on_c, 1, 39, 0
"
45,"3, 2160, Note_on_c, 1, 41, 67
"
46,"3, 2330, Note_on_c, 1, 41, 0
"
47,"3, 2360, Note_on_c, 1, 41, 64
"
48,"3, 2394, Note_on_c, 1, 41, 0
"
49,"3, 2400, Note_on_c, 1, 37, 65
"
50,"3, 2511, Note_on_c, 1, 37, 0
"
51,"3, 2520, Note_on_c, 1, 35, 65
"
52,"3, 2628, Note_on_c, 1, 35, 0
"
53,"3, 2640, Note_on_c, 1, 33, 65
"
54,"3, 2748, Note_on_c, 1, 33, 0
"
55,"3, 2760, Note_on_c, 1, 34, 65
"
56,"3, 2871, Note_on_c, 1, 34, 0
"
57,"3, 2880, Note_on_c, 1, 39, 66
"
58,"3, 3000, Note_on_c, 1, 34, 65
"
59,"3, 3015, Note_on_c, 1, 39, 0
"
60,"3, 3115, Note_on_c, 1, 34, 0
"
61,"3, 3120, Note_on_c, 1, 41, 73
"
62,"3, 3228, Note_on_c, 1, 41, 0
"
63,"3, 3240, Note_on_c, 1, 41, 73
"
64,"3, 3355, Note_on_c, 1, 41, 0
"
65,"3, 3360, Note_on_c, 1, 31, 66
"
66,"3, 3471, Note_on_c, 1, 31, 0
"
67,"3, 3480, Note_on_c, 1, 38, 65
"
68,"3, 3585, Note_on_c, 1, 38, 0
"
69,"3, 3600, Note_on_c, 1, 42, 67
"
70,"3, 3689, Note_on_c, 1, 30, 60
"
71,"3, 3689, Control_c, 1, 85, 34
"
72,"3, 3691, Note_on_c, 1, 42, 0
"
73,"3, 3720, Note_on_c, 1, 30, 0
"
74,"3, 3720, Note_on_c, 1, 42, 69
"
75,"3, 3835, Note_on_c, 1, 42, 0
"
76,"3, 3840, Note_on_c, 1, 41, 71
"
77,"3, 3960, Note_on_c, 1, 41, 0
"
78,"3, 3960, Note_on_c, 1, 43, 60
"
79,"3, 4080, Note_on_c, 1, 43, 0
"
80,"3, 4080, Note_on_c, 1, 44, 55
"
81,"3, 4200, Note_on_c, 1, 44, 0
"
82,"3, 4200, Note_on_c, 1, 48, 73
"
83,"3, 4284, Note_on_c, 1, 48, 0
"
84,"3, 4284, Note_on_c, 1, 47, 66
"
85,"3, 4315, Note_on_c, 1, 47, 0
"
86,"3, 4320, Note_on_c, 1, 46, 73
"
87,"3, 4409, Note_on_c, 1, 42, 52
"
88,"3, 4412, Note_on_c, 1, 46, 0
"
89,"3, 4428, Note_on_c, 1, 42, 0
"
90,"3, 4440, Note_on_c, 1, 48, 71
"
91,"3, 4559, Note_on_c, 1, 48, 0
"
92,"3, 4560, Note_on_c, 1, 50, 78
"
93,"3, 4638, Note_on_c, 1, 50, 0
"
94,"3, 4649, Note_on_c, 1, 42, 56
"
95,"3, 4667, Note_on_c, 1, 42, 0
"
96,"3, 4680, Note_on_c, 1, 54, 80
"
97,"3, 4769, Note_on_c, 1, 42, 49
"
98,"3, 4779, Note_on_c, 1, 42, 0
"
99,"3, 4790, Note_on_c, 1, 54, 0
"
100,"3, 4800, Note_on_c, 1, 39, 66
"
101,"3, 4908, Note_on_c, 1, 39, 0
"
102,"3, 4920, Note_on_c, 1, 46, 65
"
103,"3, 5021, Note_on_c, 1, 46, 0
"
104,"3, 5040, Note_on_c, 1, 41, 67
"
105,"3, 5128, Note_on_c, 1, 29, 60
"
106,"3, 5128, Control_c, 1, 85, 34
"
107,"3, 5131, Note_on_c, 1, 41, 0
"
108,"3, 5159, Note_on_c, 1, 29, 0
"
109,"3, 5160, Note_on_c, 1, 41, 69
"
110,"3, 5275, Note_on_c, 1, 41, 0
"
111,"3, 5280, Note_on_c, 1, 31, 58
"
112,"3, 5364, Note_on_c, 1, 31, 0
"
113,"3, 5400, Note_on_c, 1, 31, 73
"
114,"3, 5508, Note_on_c, 1, 31, 0
"
115,"3, 5520, Note_on_c, 1, 32, 58
"
116,"3, 5604, Note_on_c, 1, 32, 0
"
117,"3, 5640, Note_on_c, 1, 32, 73
"
118,"3, 5748, Note_on_c, 1, 32, 0
"
119,"3, 5760, Note_on_c, 1, 34, 62
"
120,"3, 5851, Note_on_c, 1, 34, 0
"
121,"3, 5880, Note_on_c, 1, 34, 69
"
122,"3, 5995, Note_on_c, 1, 34, 0
"
123,"3, 6000, Note_on_c, 1, 34, 73
"
124,"3, 6108, Note_on_c, 1, 34, 0
"
125,"3, 6120, Note_on_c, 1, 34, 73
"
126,"3, 6235, Note_on_c, 1, 34, 0
"
127,"3, 6240, Note_on_c, 1, 34, 66
"
128,"3, 6351, Note_on_c, 1, 34, 0
"
129,"3, 6360, Note_on_c, 1, 41, 65
"
130,"3, 6465, Note_on_c, 1, 41, 0
"
131,"3, 6480, Note_on_c, 1, 39, 68
"
132,"3, 6594, Note_on_c, 1, 39, 0
"
133,"3, 6600, Note_on_c, 1, 43, 62
"
134,"3, 6705, Note_on_c, 1, 43, 0
"
135,"3, 6720, Note_on_c, 1, 44, 66
"
136,"3, 6840, Note_on_c, 1, 46, 68
"
137,"3, 6860, Note_on_c, 1, 44, 0
"
138,"3, 6960, Note_on_c, 1, 48, 63
"
139,"3, 6971, Note_on_c, 1, 46, 0
"
140,"3, 7080, Note_on_c, 1, 51, 64
"
141,"3, 7100, Note_on_c, 1, 48, 0
"
142,"3, 7195, Note_on_c, 1, 51, 0
"
143,"3, 7200, Note_on_c, 1, 43, 79
"
144,"3, 7267, Note_on_c, 1, 43, 0
"
145,"3, 7289, Note_on_c, 1, 31, 26
"
146,"3, 7315, Note_on_c, 1, 31, 0
"
147,"3, 7320, Note_on_c, 1, 41, 71
"
148,"3, 7438, Note_on_c, 1, 41, 0
"
149,"3, 7440, Note_on_c, 1, 39, 77
"
150,"3, 7560, Note_on_c, 1, 39, 73
"
151,"3, 7568, Note_on_c, 1, 39, 0
"
152,"3, 7649, Note_on_c, 1, 37, 68
"
153,"3, 7667, Note_on_c, 1, 39, 0
"
154,"3, 7675, Note_on_c, 1, 37, 0
"
155,"3, 7680, Note_on_c, 1, 36, 78
"
156,"3, 7724, Note_on_c, 1, 36, 0
"
157,"3, 7769, Note_on_c, 1, 36, 66
"
158,"3, 7800, Note_on_c, 1, 38, 57
"
159,"3, 7821, Note_on_c, 1, 36, 0
"
160,"3, 7920, Note_on_c, 1, 38, 0
"
161,"3, 7920, Note_on_c, 1, 39, 68
"
162,"3, 8039, Note_on_c, 1, 39, 0
"
163,"3, 8040, Note_on_c, 1, 43, 60
"
164,"3, 8155, Note_on_c, 1, 43, 0
"
165,"3, 8160, Note_on_c, 1, 53, 68
"
166,"3, 8280, Note_on_c, 1, 41, 62
"
167,"3, 8299, Note_on_c, 1, 53, 0
"
168,"3, 8400, Note_on_c, 1, 45, 66
"
169,"3, 8409, Note_on_c, 1, 41, 0
"
170,"3, 8520, Note_on_c, 1, 48, 64
"
171,"3, 8528, Note_on_c, 1, 45, 0
"
172,"3, 8635, Note_on_c, 1, 48, 0
"
173,"3, 8640, Note_on_c, 1, 41, 66
"
174,"3, 8760, Note_on_c, 1, 36, 65
"
175,"3, 8775, Note_on_c, 1, 41, 0
"
176,"3, 8875, Note_on_c, 1, 36, 0
"
177,"3, 8880, Note_on_c, 1, 42, 72
"
178,"3, 8944, Note_on_c, 1, 42, 0
"
179,"3, 8969, Note_on_c, 1, 30, 65
"
180,"3, 8969, Control_c, 1, 85, 34
"
181,"3, 9000, Note_on_c, 1, 36, 58
"
182,"3, 9004, Note_on_c, 1, 30, 0
"
183,"3, 9115, Note_on_c, 1, 36, 0
"
184,"3, 9120, Note_on_c, 1, 31, 72
"
185,"3, 9184, Note_on_c, 1, 31, 0
"
186,"3, 9209, Note_on_c, 1, 31, 65
"
187,"3, 9240, Note_on_c, 1, 38, 58
"
188,"3, 9244, Note_on_c, 1, 31, 0
"
189,"3, 9355, Note_on_c, 1, 38, 0
"
190,"3, 9360, Note_on_c, 1, 36, 79
"
191,"3, 9449, Note_on_c, 1, 32, 55
"
192,"3, 9469, Note_on_c, 1, 32, 0
"
193,"3, 9475, Note_on_c, 1, 36, 0
"
194,"3, 9480, Note_on_c, 1, 44, 72
"
195,"3, 9569, Note_on_c, 1, 44, 0
"
196,"3, 9569, Note_on_c, 1, 32, 57
"
197,"3, 9586, Note_on_c, 1, 32, 0
"
198,"3, 9600, Note_on_c, 1, 41, 72
"
199,"3, 9664, Note_on_c, 1, 41, 0
"
200,"3, 9689, Note_on_c, 1, 41, 65
"
201,"3, 9720, Note_on_c, 1, 48, 58
"
202,"3, 9724, Note_on_c, 1, 41, 0
"
203,"3, 9835, Note_on_c, 1, 48, 0
"
204,"3, 9840, Note_on_c, 1, 44, 67
"
205,"3, 9929, Note_on_c, 1, 32, 60
"
206,"3, 9931, Note_on_c, 1, 44, 0
"
207,"3, 9960, Note_on_c, 1, 32, 0
"
208,"3, 9960, Note_on_c, 1, 44, 69
"
209,"3, 10075, Note_on_c, 1, 44, 0
"
210,"3, 10080, Note_on_c, 1, 37, 67
"
211,"3, 10154, Note_on_c, 1, 37, 0
"
212,"3, 10166, Note_on_c, 1, 37, 64
"
213,"3, 10195, Note_on_c, 1, 37, 0
"
214,"3, 10200, Note_on_c, 1, 35, 67
"
215,"3, 10274, Note_on_c, 1, 35, 0
"
216,"3, 10286, Note_on_c, 1, 35, 64
"
217,"3, 10315, Note_on_c, 1, 35, 0
"
218,"3, 10320, Note_on_c, 1, 33, 67
"
219,"3, 10410, Note_on_c, 1, 33, 0
"
220,"3, 10440, Note_on_c, 1, 34, 65
"
221,"3, 10541, Note_on_c, 1, 34, 0
"
222,"3, 10560, Note_on_c, 1, 39, 67
"
223,"3, 10649, Note_on_c, 1, 27, 60
"
224,"3, 10649, Control_c, 1, 85, 34
"
225,"3, 10651, Note_on_c, 1, 39, 0
"
226,"3, 10680, Note_on_c, 1, 27, 0
"
227,"3, 10680, Note_on_c, 1, 39, 69
"
228,"3, 10795, Note_on_c, 1, 39, 0
"
229,"3, 10800, Note_on_c, 1, 41, 66
"
230,"3, 10920, Note_on_c, 1, 36, 65
"
231,"3, 10935, Note_on_c, 1, 41, 0
"
232,"3, 11035, Note_on_c, 1, 36, 0
"
233,"3, 11040, Note_on_c, 1, 43, 67
"
234,"3, 11129, Note_on_c, 1, 31, 60
"
235,"3, 11131, Note_on_c, 1, 43, 0
"
236,"3, 11160, Note_on_c, 1, 31, 0
"
237,"3, 11160, Note_on_c, 1, 43, 69
"
238,"3, 11275, Note_on_c, 1, 43, 0
"
239,"3, 11280, Note_on_c, 1, 42, 62
"
240,"3, 11374, Note_on_c, 1, 42, 0
"
241,"3, 11400, Note_on_c, 1, 42, 69
"
242,"3, 11508, Note_on_c, 1, 42, 0
"
243,"3, 11520, Note_on_c, 1, 53, 68
"
244,"3, 11640, Note_on_c, 1, 41, 62
"
245,"3, 11659, Note_on_c, 1, 53, 0
"
246,"3, 11760, Note_on_c, 1, 44, 66
"
247,"3, 11769, Note_on_c, 1, 41, 0
"
248,"3, 11880, Note_on_c, 1, 48, 64
"
249,"3, 11888, Note_on_c, 1, 44, 0
"
250,"3, 11995, Note_on_c, 1, 48, 0
"
251,"3, 12000, Note_on_c, 1, 46, 73
"
252,"3, 12088, Note_on_c, 1, 42, 52
"
253,"3, 12092, Note_on_c, 1, 46, 0
"
254,"3, 12107, Note_on_c, 1, 42, 0
"
255,"3, 12120, Note_on_c, 1, 48, 71
"
256,"3, 12239, Note_on_c, 1, 48, 0
"
257,"3, 12240, Note_on_c, 1, 50, 78
"
258,"3, 12318, Note_on_c, 1, 50, 0
"
259,"3, 12328, Note_on_c, 1, 42, 56
"
260,"3, 12346, Note_on_c, 1, 42, 0
"
261,"3, 12360, Note_on_c, 1, 54, 80
"
262,"3, 12440, Note_on_c, 1, 54, 0
"
263,"3, 12448, Note_on_c, 1, 42, 49
"
264,"3, 12458, Note_on_c, 1, 42, 0
"
265,"3, 12480, Note_on_c, 1, 39, 68
"
266,"3, 12518, Note_on_c, 1, 39, 0
"
267,"3, 12571, Note_on_c, 1, 39, 54
"
268,"3, 12605, Note_on_c, 1, 34, 75
"
269,"3, 12609, Note_on_c, 1, 39, 0
"
270,"3, 12715, Note_on_c, 1, 34, 0
"
271,"3, 12720, Note_on_c, 1, 41, 72
"
272,"3, 12784, Note_on_c, 1, 41, 0
"
273,"3, 12809, Note_on_c, 1, 41, 65
"
274,"3, 12840, Note_on_c, 1, 48, 58
"
275,"3, 12844, Note_on_c, 1, 41, 0
"
276,"3, 12955, Note_on_c, 1, 48, 0
"
277,"3, 12960, Note_on_c, 1, 31, 62
"
278,"3, 13051, Note_on_c, 1, 31, 0
"
279,"3, 13080, Note_on_c, 1, 31, 69
"
280,"3, 13195, Note_on_c, 1, 31, 0
"
281,"3, 13200, Note_on_c, 1, 32, 66
"
282,"3, 13311, Note_on_c, 1, 32, 0
"
283,"3, 13320, Note_on_c, 1, 39, 65
"
284,"3, 13425, Note_on_c, 1, 39, 0
"
285,"3, 13440, Note_on_c, 1, 34, 66
"
286,"3, 13560, Note_on_c, 1, 36, 68
"
