,0
0,"0, 0, Header, 1, 15, 96
"
1,"1, 0, Start_track
"
2,"1, 0, Sequencer_specific, 0A, 00, 00, 5B, 23, 01, 00, 05, 05, 29, 00
"
3,"1, 0, Title_t, ""O Tannenbaum""
"
4,"1, 0, Instrument_name_t, ""V.Guaraldi Jazz Version""
"
5,"1, 0, SMPTE_offset, 96, 0, 3, 0, 0
"
6,"1, 0, MIDI_port, 0
"
7,"1, 0, Key_signature, -1, ""major""
"
8,"1, 0, Time_signature, 3, 2, 24, 8
"
9,"1, 0, Tempo, 600000
"
10,"1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 00, 7F, 00, 41, F7
"
11,"1, 1, Text_t, ""GS Reset - SYX ""
"
12,"1, 5184, Tempo, 465116
"
13,"1, 5184, Time_signature, 4, 2, 24, 8
"
14,"1, 33408, System_exclusive, 0A, 41, 10, 42, 12, 40, 00, 7F, 00, 41, F7
"
15,"1, 33409, Text_t, ""GS Reset - SYX ""
"
16,"1, 33409, End_track
"
17,"2, 0, Start_track
"
18,"2, 0, Title_t, ""Jazz Drum Set""
"
19,"2, 0, MIDI_port, 0
"
20,"2, 96, Control_c, 9, 93, 0
"
21,"2, 96, Control_c, 9, 32, 0
"
22,"2, 96, Control_c, 9, 0, 0
"
23,"2, 96, Program_c, 9, 32
"
24,"2, 96, Control_c, 9, 7, 100
"
25,"2, 96, Control_c, 9, 91, 64
"
26,"2, 96, Control_c, 9, 10, 64
"
27,"2, 5184, Note_on_c, 9, 83, 56
"
28,"2, 5184, Note_on_c, 9, 36, 100
"
29,"2, 5184, Note_on_c, 9, 59, 106
"
30,"2, 5193, Note_on_c, 9, 83, 0
"
31,"2, 5193, Note_on_c, 9, 36, 0
"
32,"2, 5193, Note_on_c, 9, 59, 0
"
33,"2, 5280, Note_on_c, 9, 83, 56
"
34,"2, 5280, Note_on_c, 9, 37, 78
"
35,"2, 5280, Note_on_c, 9, 44, 117
"
36,"2, 5280, Note_on_c, 9, 59, 108
"
37,"2, 5289, Note_on_c, 9, 83, 0
"
38,"2, 5289, Note_on_c, 9, 37, 0
"
39,"2, 5289, Note_on_c, 9, 44, 0
"
40,"2, 5289, Note_on_c, 9, 59, 0
"
41,"2, 5344, Note_on_c, 9, 36, 100
"
42,"2, 5353, Note_on_c, 9, 36, 0
"
43,"2, 5376, Note_on_c, 9, 83, 56
"
44,"2, 5376, Note_on_c, 9, 36, 100
"
45,"2, 5376, Note_on_c, 9, 59, 108
"
46,"2, 5385, Note_on_c, 9, 83, 0
"
47,"2, 5385, Note_on_c, 9, 36, 0
"
48,"2, 5385, Note_on_c, 9, 59, 0
"
49,"2, 5472, Note_on_c, 9, 83, 55
"
50,"2, 5472, Note_on_c, 9, 37, 88
"
51,"2, 5472, Note_on_c, 9, 59, 112
"
52,"2, 5472, Note_on_c, 9, 44, 126
"
53,"2, 5481, Note_on_c, 9, 83, 0
"
54,"2, 5481, Note_on_c, 9, 37, 0
"
55,"2, 5481, Note_on_c, 9, 59, 0
"
56,"2, 5481, Note_on_c, 9, 44, 0
"
57,"2, 5536, Note_on_c, 9, 36, 100
"
58,"2, 5536, Note_on_c, 9, 59, 106
"
59,"2, 5545, Note_on_c, 9, 36, 0
"
60,"2, 5545, Note_on_c, 9, 59, 0
"
61,"2, 5568, Note_on_c, 9, 83, 56
"
