,0
0,"0, 0, Header, 1, 12, 96
"
1,"1, 0, Start_track
"
2,"1, 0, Sequencer_specific, 03, 00, 00, 41
"
3,"1, 0, Sequencer_specific, 0A, 00, 00, 5B, 23, 01, 00, 05, 05, 29, 00
"
4,"1, 0, Title_t, ""Christmas Time""
"
5,"1, 0, Instrument_name_t, "" ""
"
6,"1, 0, SMPTE_offset, 96, 0, 3, 0, 0
"
7,"1, 0, MIDI_port, 0
"
8,"1, 0, Key_signature, -1, ""major""
"
9,"1, 0, Time_signature, 3, 2, 24, 8
"
10,"1, 0, Tempo, 618556
"
11,"1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 00, 7F, 00, 41, F7
"
12,"1, 1, Text_t, ""GS Reset - SYX ""
"
13,"1, 21312, System_exclusive, 0A, 41, 10, 42, 12, 40, 00, 7F, 00, 41, F7
"
14,"1, 21313, Text_t, ""GS Reset - SYX ""
"
15,"1, 21313, End_track
"
16,"2, 0, Start_track
"
17,"2, 0, Title_t, ""Is Here""
"
18,"2, 0, MIDI_port, 0
"
19,"2, 0, End_track
"
20,"3, 0, Start_track
"
21,"3, 0, Title_t, ""Piano 1""
"
22,"3, 0, Instrument_name_t, "" ""
"
23,"3, 0, MIDI_port, 0
"
24,"3, 94, Control_c, 0, 0, 0
"
25,"3, 95, Control_c, 0, 32, 0
"
26,"3, 96, Program_c, 0, 0
"
27,"3, 96, Control_c, 0, 91, 110
"
28,"3, 96, Control_c, 0, 93, 64
"
29,"3, 96, Control_c, 0, 10, 54
"
30,"3, 96, Control_c, 0, 7, 127
"
31,"3, 288, Note_on_c, 0, 57, 91
"
32,"3, 294, Note_on_c, 0, 60, 91
"
33,"3, 300, Note_on_c, 0, 64, 91
"
34,"3, 306, Note_on_c, 0, 67, 91
"
35,"3, 384, Note_on_c, 0, 76, 91
"
36,"3, 390, Note_on_c, 0, 76, 0
"
37,"3, 390, Note_on_c, 0, 84, 91
"
38,"3, 576, Note_on_c, 0, 57, 0
"
39,"3, 576, Note_on_c, 0, 60, 0
"
40,"3, 576, Note_on_c, 0, 64, 0
"
41,"3, 576, Note_on_c, 0, 67, 0
"
42,"3, 576, Note_on_c, 0, 58, 91
"
43,"3, 576, Note_on_c, 0, 61, 91
"
44,"3, 576, Note_on_c, 0, 64, 91
"
45,"3, 576, Note_on_c, 0, 69, 91
"
46,"3, 672, Note_on_c, 0, 84, 0
"
47,"3, 672, Note_on_c, 0, 76, 91
"
48,"3, 678, Note_on_c, 0, 76, 0
"
49,"3, 678, Note_on_c, 0, 84, 91
"
50,"3, 864, Note_on_c, 0, 58, 0
"
51,"3, 864, Note_on_c, 0, 61, 0
"
52,"3, 864, Note_on_c, 0, 64, 0
"
53,"3, 864, Note_on_c, 0, 69, 0
"
54,"3, 864, Note_on_c, 0, 57, 91
"
55,"3, 870, Note_on_c, 0, 60, 91
"
56,"3, 876, Note_on_c, 0, 64, 91
"
57,"3, 882, Note_on_c, 0, 67, 91
"
58,"3, 960, Note_on_c, 0, 84, 0
"
59,"3, 960, Note_on_c, 0, 76, 91
"
60,"3, 966, Note_on_c, 0, 76, 0
"
61,"3, 966, Note_on_c, 0, 84, 91
"
62,"3, 1152, Note_on_c, 0, 57, 0
"
63,"3, 1152, Note_on_c, 0, 60, 0
"
64,"3, 1152, Note_on_c, 0, 64, 0
"
65,"3, 1152, Note_on_c, 0, 67, 0
"
66,"3, 1152, Note_on_c, 0, 58, 91
"
67,"3, 1152, Note_on_c, 0, 61, 91
"
68,"3, 1152, Note_on_c, 0, 64, 91
"
69,"3, 1152, Note_on_c, 0, 69, 91
"
70,"3, 1248, Note_on_c, 0, 84, 0
"
71,"3, 1248, Note_on_c, 0, 76, 91
"
72,"3, 1254, Note_on_c, 0, 76, 0
"
73,"3, 1254, Note_on_c, 0, 84, 91
"
74,"3, 1440, Note_on_c, 0, 58, 0
"
75,"3, 1440, Note_on_c, 0, 61, 0
"
76,"3, 1440, Note_on_c, 0, 64, 0
"
77,"3, 1440, Note_on_c, 0, 69, 0
"
78,"3, 1440, Note_on_c, 0, 84, 0
"
79,"3, 1440, Note_on_c, 0, 57, 91
"
80,"3, 1440, Note_on_c, 0, 64, 91
"
81,"3, 1440, Note_on_c, 0, 67, 91
"
82,"3, 1440, Note_on_c, 0, 76, 110
"
83,"3, 1488, Note_on_c, 0, 76, 0
"
84,"3, 1488, Note_on_c, 0, 72, 110
"
85,"3, 1536, Note_on_c, 0, 72, 0
"
86,"3, 1536, Note_on_c, 0, 72, 110
"
87,"3, 1632, Note_on_c, 0, 64, 0
"
88,"3, 1632, Note_on_c, 0, 67, 0
"
89,"3, 1632, Note_on_c, 0, 60, 91
"
90,"3, 1632, Note_on_c, 0, 64, 91
"
