cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrite,NumGE1500,PctGE1500
0,X,,,,496901,210706,489,500,484,93334,44.3
1E+12,C,,,Alameda,16978,8855,516,536,517,4900,55.34
1.10017E+12,D,,Alameda County Office of Education,Alameda,398,88,418,418,417,14,15.91
1.10017E+12,S,FAME Public Charter,Alameda County Office of Education,Alameda,62,17,503,546,505,9,52.94
1.10017E+12,S,Envision Academy for Arts & Technology,Alameda County Office of Education,Alameda,75,71,397,387,395,5,7.04
1.10017E+12,S,Aspire California College Preparatory Academy,Alameda County Office of Education,Alameda,61,0,NA,NA,NA,NA,NA
1.61119E+12,D,,Alameda Unified,Alameda,922,544,521,546,519,333,61.21
1.61119E+12,S,Alameda Science and Technology Institute,Alameda Unified,Alameda,36,36,562,590,555,29,80.56
1.61119E+12,S,Nea Community Learning Center,Alameda Unified,Alameda,12,6,*,*,*,*,*
1.61119E+12,S,Alameda High,Alameda Unified,Alameda,465,325,543,573,543,229,70.46
1.61119E+12,S,Alameda Community Learning Center,Alameda Unified,Alameda,26,20,575,593,581,16,80
1.61119E+12,S,Alternatives in Action,Alameda Unified,Alameda,41,23,352,350,343,1,4.35
1.61119E+12,S,Encinal High,Alameda Unified,Alameda,238,132,483,504,476,56,42.42
1.61119E+12,S,Island High (Continuation),Alameda Unified,Alameda,100,2,*,*,*,*,*
1.61127E+12,D,,Albany City Unified,Alameda,289,178,572,599,574,136,76.4
1.61127E+12,S,Albany High,Albany City Unified,Alameda,273,178,572,599,574,136,76.4
1.61143E+12,D,,Berkeley Unified,Alameda,885,490,566,562,559,337,68.78
1.61143E+12,S,REALM Charter High,Berkeley Unified,Alameda,76,36,384,360,386,2,5.56
1.61143E+12,S,Berkeley High,Berkeley Unified,Alameda,741,450,583,580,574,335,74.44
1.61143E+12,S,Berkeley Technology Academy,Berkeley Unified,Alameda,59,4,*,*,*,*,*
1.6115E+12,D,,Castro Valley Unified,Alameda,755,438,527,556,524,273,62.33
1.6115E+12,S,Castro Valley High,Castro Valley Unified,Alameda,688,438,527,556,524,273,62.33
1.61168E+12,D,,Emery Unified,Alameda,47,23,420,433,441,6,26.09
1.61168E+12,S,Emery Secondary,Emery Unified,Alameda,47,23,420,433,441,6,26.09
