cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrite,NumGE1500,PctGE1500
0,X,,,,498403,204848,492,506,489,93937,45.86
1E+12,C,,,Alameda,16990,8625,521,543,523,4967,57.59
1.10017E+12,D,,Alameda County Office of Educa,Alameda,222,53,424,429,427,11,20.75
1.10017E+12,S,FAME Public Charter,Alameda County Office of Educa,Alameda,47,12,553,523,534,8,66.67
1.10017E+12,S,Envision Academy for Arts & Technology,Alameda County Office of Educa,Alameda,48,41,387,402,396,3,7.32
1.10017E+12,S,Aspire California College Preparatory Ac,Alameda County Office of Educa,Alameda,51,0,NA,NA,NA,NA,NA
1.31617E+12,S,California School for the Deaf-Fremont,California School for the Deaf,Alameda,76,1,*,*,*,*,*
1.61119E+12,D,,Alameda Unified,Alameda,932,528,520,545,520,329,62.31
1.61119E+12,S,Alameda Science and Technology Institute,Alameda Unified,Alameda,41,40,572,605,561,33,82.5
1.61119E+12,S,Nea Community Learning Center,Alameda Unified,Alameda,21,0,NA,NA,NA,NA,NA
1.61119E+12,S,Alameda High,Alameda Unified,Alameda,428,302,542,567,541,207,68.54
1.61119E+12,S,Alameda Community Learning Center,Alameda Unified,Alameda,24,23,564,560,556,18,78.26
1.61119E+12,S,Bay Area School of Enterprise,Alameda Unified,Alameda,33,30,326,327,344,0,0
1.61119E+12,S,Encinal High,Alameda Unified,Alameda,242,130,495,526,495,70,53.85
1.61119E+12,S,Island High (Continuation),Alameda Unified,Alameda,139,3,*,*,*,*,*
1.61127E+12,D,,Albany City Unified,Alameda,297,190,582,612,577,154,81.05
1.61127E+12,S,Albany High,Albany City Unified,Alameda,288,190,582,612,577,154,81.05
1.61143E+12,D,,Berkeley Unified,Alameda,846,499,557,556,550,334,66.93
1.61143E+12,S,Berkeley High,Berkeley Unified,Alameda,778,497,558,557,551,334,67.2
1.61143E+12,S,Berkeley Technology Academy,Berkeley Unified,Alameda,61,2,*,*,*,*,*
1.6115E+12,D,,Castro Valley Unified,Alameda,836,456,533,570,529,300,65.79
1.6115E+12,S,Castro Valley High,Castro Valley Unified,Alameda,756,456,533,570,529,300,65.79
1.61168E+12,D,,Emery Unified,Alameda,55,39,399,433,404,7,17.95
1.61168E+12,S,Emery Secondary,Emery Unified,Alameda,55,39,399,433,404,7,17.95
1.61176E+12,D,,Fremont Unified,Alameda,2604,1584,582,622,594,1240,78.28
1.61176E+12,S,American High,Fremont Unified,Alameda,476,320,569,605,584,246,76.88
1.61176E+12,S,Robertson High (Continuation),Fremont Unified,Alameda,140,1,*,*,*,*,*
1.61176E+12,S,Vista Alternative,Fremont Unified,Alameda,28,0,NA,NA,NA,NA,NA
1.61176E+12,S,Circle of Independent Learning,Fremont Unified,Alameda,23,8,*,*,*,*,*
1.61176E+12,S,Irvington High,Fremont Unified,Alameda,529,367,576,623,591,294,80.11
1.61176E+12,S,John F. Kennedy High,Fremont Unified,Alameda,364,157,508,522,510,77,49.04
1.61176E+12,S,Mission San Jose High,Fremont Unified,Alameda,542,490,641,695,654,464,94.69
1.61176E+12,S,Washington High,Fremont Unified,Alameda,474,241,539,558,542,151,62.66
1.61192E+12,D,,Hayward Unified,Alameda,1516,654,442,446,449,155,23.7
1.61192E+12,S,Leadership Public Schools - Hayward,Hayward Unified,Alameda,110,114,431,451,453,27,23.68
1.61192E+12,S,Impact Academy of Arts & Technology,Hayward Unified,Alameda,109,94,453,448,447,23,24.47
1.61192E+12,S,Brenkwitz High,Hayward Unified,Alameda,186,2,*,*,*,*,*
1.61192E+12,S,Hayward High,Hayward Unified,Alameda,386,158,442,438,451,39,24.68
1.61192E+12,S,Mt. Eden High,Hayward Unified,Alameda,407,177,462,462,463,52,29.38
1.61192E+12,S,Tennyson High,Hayward Unified,Alameda,296,109,412,426,420,14,12.84
1.612E+12,D,,Livermore Valley Joint Unified,Alameda,1051,440,542,555,539,304,69.09
1.612E+12,S,Vineyard Alternative,Livermore Valley Joint Unified,Alameda,49,7,*,*,*,*,*
1.612E+12,S,Granada High,Livermore Valley Joint Unified,Alameda,467,245,549,570,547,181,73.88
1.612E+12,S,Livermore High,Livermore Valley Joint Unified,Alameda,438,188,532,535,528,116,61.7
1.61234E+12,D,,Newark Unified,Alameda,491,212,494,515,501,104,49.06
1.61234E+12,S,Newark Memorial High,Newark Unified,Alameda,418,212,494,515,501,104,49.06
1.61234E+12,S,Crossroads High (Alternative),Newark Unified,Alameda,14,0,NA,NA,NA,NA,NA
1.61242E+12,D,,New Haven Unified,Alameda,1170,527,496,525,493,254,48.2
1.61242E+12,S,Core Learning Academy at Conley-Caraball,New Haven Unified,Alameda,145,1,*,*,*,*,*
1.61242E+12,S,Decoto School for Independent Study,New Haven Unified,Alameda,73,0,NA,NA,NA,NA,NA
1.61242E+12,S,James Logan High,New Haven Unified,Alameda,943,526,496,525,493,253,48.1
1.61259E+12,D,,Oakland Unified,Alameda,3024,1286,446,457,447,394,30.64
