,0
0,"0, 0, Header, 1, 10, 96
"
1,"1, 0, Start_track
"
2,"1, 0, Sequencer_specific, 0A, 00, 00, 5B, 23, 01, 00, 05, 05, 29, 00
"
3,"1, 0, Title_t, ""Skating (Peanuts)""
"
4,"1, 0, Instrument_name_t, ""by Vince Guaraldi""
"
5,"1, 0, SMPTE_offset, 96, 0, 3, 0, 0
"
6,"1, 0, MIDI_port, 0
"
7,"1, 0, Key_signature, 0, ""major""
"
8,"1, 0, Text_t, ""Peanuts' Skating""
"
9,"1, 0, Copyright_t, ""Programmed by D.W.Barnes""
"
10,"1, 0, Time_signature, 3, 2, 24, 8
"
11,"1, 0, Tempo, 363636
"
12,"1, 0, System_exclusive, 0A, 41, 10, 42, 12, 40, 00, 7F, 00, 41, F7
"
13,"1, 1, Text_t, ""GS Reset - SYX ""
"
14,"1, 32832, System_exclusive, 0A, 41, 10, 42, 12, 40, 00, 7F, 00, 41, F7
"
15,"1, 32833, Text_t, ""GS Reset - SYX ""
"
16,"1, 32833, End_track
"
17,"2, 0, Start_track
"
18,"2, 0, Title_t, ""Piano 1""
"
19,"2, 0, MIDI_port, 0
"
20,"2, 94, Control_c, 0, 0, 0
"
21,"2, 95, Control_c, 0, 32, 0
"
22,"2, 96, Program_c, 0, 0
"
23,"2, 96, Control_c, 0, 91, 100
"
24,"2, 96, Control_c, 0, 93, 17
"
25,"2, 96, Control_c, 0, 7, 125
"
26,"2, 96, Control_c, 0, 10, 54
"
27,"2, 352, Note_on_c, 0, 67, 101
"
28,"2, 352, Note_on_c, 0, 64, 101
"
29,"2, 352, Note_on_c, 0, 62, 101
"
30,"2, 352, Note_on_c, 0, 57, 101
"
31,"2, 383, Note_on_c, 0, 67, 0
"
32,"2, 383, Note_on_c, 0, 64, 0
"
33,"2, 383, Note_on_c, 0, 62, 0
"
34,"2, 383, Note_on_c, 0, 57, 0
"
35,"2, 480, Note_on_c, 0, 67, 101
"
36,"2, 480, Note_on_c, 0, 64, 101
"
37,"2, 480, Note_on_c, 0, 62, 101
"
38,"2, 480, Note_on_c, 0, 57, 101
"
39,"2, 575, Note_on_c, 0, 67, 0
"
40,"2, 575, Note_on_c, 0, 64, 0
"
41,"2, 575, Note_on_c, 0, 62, 0
"
42,"2, 575, Note_on_c, 0, 57, 0
"
43,"2, 640, Note_on_c, 0, 67, 101
"
44,"2, 640, Note_on_c, 0, 62, 101
"
45,"2, 640, Note_on_c, 0, 60, 101
"
46,"2, 640, Note_on_c, 0, 57, 101
"
47,"2, 671, Note_on_c, 0, 67, 0
"
48,"2, 671, Note_on_c, 0, 62, 0
"
49,"2, 671, Note_on_c, 0, 60, 0
"
50,"2, 671, Note_on_c, 0, 57, 0
"
51,"2, 768, Note_on_c, 0, 67, 101
"
52,"2, 768, Note_on_c, 0, 62, 101
"
53,"2, 768, Note_on_c, 0, 60, 101
"
54,"2, 768, Note_on_c, 0, 57, 101
"
55,"2, 863, Note_on_c, 0, 67, 0
"
56,"2, 863, Note_on_c, 0, 62, 0
"
57,"2, 863, Note_on_c, 0, 60, 0
"
58,"2, 863, Note_on_c, 0, 57, 0
"
59,"2, 928, Note_on_c, 0, 69, 101
"
60,"2, 928, Note_on_c, 0, 64, 101
"
61,"2, 928, Note_on_c, 0, 62, 101
"
62,"2, 928, Note_on_c, 0, 59, 101
"
63,"2, 959, Note_on_c, 0, 69, 0
"
64,"2, 959, Note_on_c, 0, 64, 0
"
65,"2, 959, Note_on_c, 0, 62, 0
"
66,"2, 959, Note_on_c, 0, 59, 0
"
67,"2, 1056, Note_on_c, 0, 69, 101
"
68,"2, 1056, Note_on_c, 0, 64, 101
"
69,"2, 1056, Note_on_c, 0, 62, 101
"
70,"2, 1056, Note_on_c, 0, 59, 101
"
71,"2, 1151, Note_on_c, 0, 69, 0
"
72,"2, 1151, Note_on_c, 0, 64, 0
"
73,"2, 1151, Note_on_c, 0, 62, 0
"
74,"2, 1151, Note_on_c, 0, 59, 0
"
75,"2, 1216, Note_on_c, 0, 67, 101
"
76,"2, 1216, Note_on_c, 0, 62, 101
"
77,"2, 1216, Note_on_c, 0, 60, 101
"
78,"2, 1216, Note_on_c, 0, 57, 101
"
79,"2, 1247, Note_on_c, 0, 67, 0
"
80,"2, 1247, Note_on_c, 0, 62, 0
"
81,"2, 1247, Note_on_c, 0, 60, 0
"
82,"2, 1247, Note_on_c, 0, 57, 0
"
83,"2, 1344, Note_on_c, 0, 67, 101
"
84,"2, 1344, Note_on_c, 0, 62, 101
"
85,"2, 1344, Note_on_c, 0, 60, 101
"
86,"2, 1344, Note_on_c, 0, 57, 101
"
87,"2, 1439, Note_on_c, 0, 67, 0
"
88,"2, 1439, Note_on_c, 0, 62, 0
"
89,"2, 1439, Note_on_c, 0, 60, 0
"
90,"2, 1439, Note_on_c, 0, 57, 0
"
91,"2, 1504, Note_on_c, 0, 67, 101
"
92,"2, 1504, Note_on_c, 0, 64, 101
"
93,"2, 1504, Note_on_c, 0, 62, 101
"
94,"2, 1504, Note_on_c, 0, 57, 101
"
95,"2, 1535, Note_on_c, 0, 67, 0
"
96,"2, 1535, Note_on_c, 0, 64, 0
"
97,"2, 1535, Note_on_c, 0, 62, 0
"
98,"2, 1535, Note_on_c, 0, 57, 0
"
99,"2, 1632, Note_on_c, 0, 67, 101
"
100,"2, 1632, Note_on_c, 0, 64, 101
"
101,"2, 1632, Note_on_c, 0, 62, 101
"
102,"2, 1632, Note_on_c, 0, 57, 101
"
103,"2, 1727, Note_on_c, 0, 67, 0
"
104,"2, 1727, Note_on_c, 0, 64, 0
"
105,"2, 1727, Note_on_c, 0, 62, 0
"
106,"2, 1727, Note_on_c, 0, 57, 0
"
107,"2, 1792, Note_on_c, 0, 67, 101
"
108,"2, 1792, Note_on_c, 0, 62, 101
"
109,"2, 1792, Note_on_c, 0, 60, 101
"
110,"2, 1792, Note_on_c, 0, 57, 101
"
111,"2, 1823, Note_on_c, 0, 67, 0
"
112,"2, 1823, Note_on_c, 0, 62, 0
"
113,"2, 1823, Note_on_c, 0, 60, 0
"
114,"2, 1823, Note_on_c, 0, 57, 0
"
115,"2, 1920, Note_on_c, 0, 67, 101
"
116,"2, 1920, Note_on_c, 0, 62, 101
"
117,"2, 1920, Note_on_c, 0, 60, 101
"
118,"2, 1920, Note_on_c, 0, 57, 101
"
119,"2, 2015, Note_on_c, 0, 67, 0
"
120,"2, 2015, Note_on_c, 0, 62, 0
"
121,"2, 2015, Note_on_c, 0, 60, 0
"
122,"2, 2015, Note_on_c, 0, 57, 0
"
123,"2, 2080, Note_on_c, 0, 69, 101
"
124,"2, 2080, Note_on_c, 0, 64, 101
"
125,"2, 2080, Note_on_c, 0, 62, 101
"
